Charles Town,charlt
Evangeline Downs,evangd
Belmont Park,belmont
Mountaineer Park,mountp
Delaware Park,delaw
Emerald Downs,emerald
Woodbine,woodb
Penn National,penn
Monmouth Park,monm
Louisiana Downs,louis
Finger Lakes,fingl
Newbury,newb
Haydock,hayd
Chester,chest
Catterick,catt
Beverley,bev
Stratford,strat
Newmarket,newm
Crayford,crayfd
Monmore,monm
Romford,romfd
Newcastle,newc
Sittingbourne,sittb
Wimbledon,wdon
Morphettville,morp
Flemington,flem
Dubbo,dubb
Gold Coast,gcst
Darwin,darw
Swan Hill,swnh
Toowoomba,toow
Rockhampton,rock
Kembla Grange,kemg
Randwick,rand
Eagle Farm,efrm
Tamworth,tamw
Belmont,belm
Globe Derby,glbd
Albion Park,aprk
Bunbury,bunb
Bendigo,bend
Menangle,mngl
Carrick,catt
Navan,navan
Curragh,curr
Nottingham,nott
Perth,perth
Sunshine Coast,scst
Hobart,hoba
Kalgoorlie,kalg
Port Augusta,paug
Cranbourne,cran
Alice Springs,aspr
Sapphire Coast,sapp
Hawkesbury,hawk
Cowra,cowr
Launceston,laun
Canberra,canb
Melton,melt
Parx Racing,parx
Presque Isle Downs,prisled
Fort Erie,forte
Belle Vue,bvue
Kinsley,kinsl
Perry Barr,pbarr
Coventry,cov
Poole,poole
Hove,hove
Roscommon,rosc
Brighton,brig
Southwell,sthl
Windsor,wind
Newton Abbot,newt
Sheffield,sheff
Swindon,swin
Hall Green,hgrn
Deauville,deau
Clairfontaine,cfont
Gowran Park,gowp
River Downs,riverd
Fairmount Park,fairmp
Hamilton,ham
Sunderland,sund
Vaal,vaal
Bath,bath
Kempton,kemp
Chepstow,chep
Fairyhouse,fairy
Kempton,kemp
Durbanville,durban
Suffolk Downs,suffd
Yarmouth,yarm
Worcester,worc
Epsom,epsm
Leopardstown,leop
Gulfstream Park,gulf
Sandown,sand
Doncaster,donc
Bellewstown,belle
Arlington,arl
Wexford,wex
Warwick,warw
Greyville,grey
Turffontein,turf
Leicester,leic
Longchamp,long
Carlisle,carl
Maisons-Laffitte,mlaff
Limerick,lim
Market Rasen,mrktr
Henlow,henl
Ayr,ayr
Chantilly,chant
Fairview,fair
Wolverhampton,wolv
Uttoxeter,uttox
Ripon,ripon
Chantilly,chant
Lion Dangers,liond
Scottsville,scots
Kenilworth,kenil
Pontefract,ponte
Lingfield,ling
Naas,naas
Grafton,graf
Mildura,mdra
Geelong,geel
Canterbury,cant
Bathurst,bath
Gawler,gawl
Redcliffe,redc
Northam,nort
Shepparton,shep
Ballarat,ball
Penrith,penr
Warrnambool,warr
Doomben,doom
Caulfield,caul
Warwick Farm,wfrm
La Teste De Buch,lateste
York,york
Dundalk,dund
Clairwood,clair
Ascot,ascot
Tipperary,tipp
Borrowdale,borrow
Salisbury,salis
Cork,cork
Downpatrick,downp
Vichy,vichy
Sligo,sligo
Flamingo Park,flamp
Killarney,killar
Kilbeggan,kilb
Saratoga,sara
Cartmel,cart
Redcar,redc
Compiegne,comp
Ballinrobe,ballin
Ffos Las,ffosl
Bangor,bang
Musselburgh,muss
Goodwood,glorious
Down Royal,downr
Romford (Evening),romfd
Thirsk,thirsk
Galway,gal
Goodwood,Good
Sedgefield,sedge
Zia Park,ziap
Laurel Park,laurel
Cheltenham,chelt
Kelso,kelso
Plumpton,plump
Exeter,extr
Fontwell,font
Ludlow,ludl
Fakenham,fake
Huntingdon,hunt
Wetherby,weth
Delta Downs,deltad
Santa Anita,breeders
Hawthorne,hawth
Turf Paradise,tpara
Aqueduct,aque
Santa Anita,santa
Hexham,hex
Taunton,taun
Towcester,towc
Turfway Park,turfway
Aintree,aint
Tampa Bay Downs,tampa
Sunland Park,sunp
Remington Park,remp
Wincanton,winc
Keeneland,keenl
Peterborough,pboro
Tramore,tramore
Thurles,thurles
Punchestown,punchestown
Chelmsford City,chelmsfordcity
Sam Houston,samh
Shelbourne Park,shelbournepark
Clonmel,clonmel
Will Rogers Downs,willrd
Shawfield,shawfield
Listowel,listowel
Royal Ascot,royalascot
Charles Town Races & Slots,charlt
Parx Racing At Philadelphia Park,parx
Mountaineer Casino Racetrack & Resort,mountp
Pelaw Grange,pelawgrange
Shelbourne,shelbourne
Nottingham (Evening),nottingham
Mullingar,mullingar
Laytown,laytown
Youghal,youghal
Meadowlands,meadow
Harlow,harlow
Sam Houston Race Park,samh
Meydan,meydan
Prairie Meadows,prairm
Mohawk,mohawk
Central Park,centralpark
Ruidoso Downs,ruidd
Moulins,moul
Fontainebleau,font
Cagnes Sur Mer,cagnes
Saint-Cloud,saint
Craon,craon
Auteuil,aut
Nancy,nancy
Mont De Marsan,montde
Toulouse,toul
FR - FONTAINEBLEAU,font
Enghien-Soisy,engh
Mandurah,mand
Richmond,rich
Wentworth Park,wprk
Bordeaux,bord
Lyon Parilly,lyonp
Hereford,hereford
Nantes,nantes
